,NSW,NSW,NSW,NSW,NSW,QLD,QLD,QLD,SAU,SAU,SAU,VIC,VIC,VIC,VIC,WAU,WAU,WAU,OTH,OTH
4/1/2000,6.341801885,4.923476171,3.460794534,2.36821059,2.824604047,9.357776528,4.182855183,2.415395818,1.967284784,1.892487791,0.751670547,5.391724144,1.013711952,1.429522857,4.186497747,2.812306443,3.340795413,0.612621938,3.03259782,1.716113892
7/1/2000,7.827300649,5.134491228,1.606172853,2.934892975,3.390675154,11.36353284,4.173056247,5.428681838,1.974431572,1.196388321,1.607928023,4.921812011,0.717511695,1.19636145,3.765293375,1.835913192,3.755449815,0.656811734,4.203969332,1.748991711
10/1/2000,9.579562226,6.389887808,2.563253888,2.561272226,2.946215151,9.923923007,4.192214661,3.730405377,2.379025595,1.308082257,1.02552403,5.884152604,1.104621763,1.806971531,3.827240802,3.294710957,2.906949082,1.092598176,3.426292926,1.883513391
1/1/2001,8.270488389,8.259398343,4.913845694,2.37810759,3.117018836,11.28107239,3.781164254,2.111365846,2.498923395,2.386227104,0.974266308,8.894267262,2.354467896,2.727921221,4.610199612,2.733989203,2.737204885,0.730163074,2.919346527,1.867394179
4/1/2001,7.240426634,5.442668818,3.143754048,2.881288304,2.967460204,8.812294734,5.061589317,2.888620649,1.830693918,1.564454673,1.109921503,5.724431826,1.071682417,1.370444179,3.939683936,2.598865055,3.633653666,0.599480107,3.413370118,1.853569516
7/1/2001,6.640489646,5.767428113,1.776068965,2.470918283,3.111254423,11.63973921,5.086359054,4.467746293,2.094040093,1.032724617,1.031944654,5.562025716,0.711084379,1.242439069,3.927555112,2.52026784,3.550496884,0.860446172,3.461560247,1.961257004
10/1/2001,7.111874778,5.611910075,2.437988312,2.508259069,2.778671178,11.17206858,4.217268793,3.841949658,2.226933291,1.532746844,0.988408262,6.807251619,0.892290068,1.382574218,3.893688142,2.853196408,3.933319917,1.006303882,3.102414677,1.411294096
1/1/2002,6.82782571,9.50484267,4.503677562,2.539149324,3.246054946,12.25261313,4.405265945,2.474731759,2.461231097,2.211109416,0.684636919,7.903871062,2.096792196,2.891712414,5.550154275,3.706924106,3.815283143,1.000652313,3.195784214,1.999595266
4/1/2002,6.404992035,6.032524887,2.738989323,2.325262848,3.182463996,8.556381261,3.262610819,2.406978687,2.421714074,1.601205443,0.843706673,4.735440769,1.232337425,1.814816739,4.10065183,2.308934756,3.21710237,1.098811562,2.816704684,1.846532192
7/1/2002,6.615760134,5.824036412,2.597074341,3.618077126,3.550722056,11.34896702,6.493243198,4.786754865,2.394183292,1.17373854,1.287104037,5.815455529,0.879091111,0.976170714,4.143904093,2.381529553,3.926513798,0.79767169,3.733359317,1.749373805
10/1/2002,7.226376475,6.521765428,3.036103851,2.556570028,3.65471007,11.99155084,4.357779677,3.011368126,2.182757569,1.664354831,1.146990803,6.731290959,1.107588413,1.799438385,4.190439408,2.510406225,3.696801912,0.738254609,3.861257674,2.00051266
1/1/2003,7.589058252,8.985047892,5.34734857,2.645302379,2.530092502,14.28979561,3.259348541,2.37296774,2.454007801,2.841890308,0.881321988,7.953003011,2.027196573,2.668525957,4.61666972,3.146483792,3.550069562,0.88676882,2.802422859,2.179916873
4/1/2003,6.334527186,5.58626359,2.468439021,2.61319236,3.022612784,9.895240301,3.810470695,2.911053093,2.112346878,1.894373366,1.133996777,6.019686483,1.190798505,1.589415918,4.580558266,2.348200733,3.075972388,0.648429123,3.338487647,1.803218983
7/1/2003,5.99674752,5.458092112,1.839535061,3.028605768,3.138255848,11.39757768,6.107851018,5.008257594,2.358965438,1.339393469,1.09480321,4.885057629,0.84372043,1.187948214,4.24556514,2.393109757,4.703073693,0.87873794,3.193493361,1.60049364
10/1/2003,6.612846165,6.451381762,2.790800558,2.592156095,2.748980866,11.10996249,3.873570722,4.253478637,1.900779182,1.636645277,1.22395171,6.203778784,0.942998022,1.604546633,3.915378095,2.547927512,3.663287171,1.516986494,3.2183148,2.003362862
1/1/2004,7.758267493,8.562403389,5.079241473,2.641145989,3.113590374,12.12389811,3.699648612,2.54225985,3.101584767,2.693606162,1.161327085,7.413782828,2.269090721,3.003045945,5.466224002,3.179609489,3.866342807,0.972723579,4.061292369,2.751410379
4/1/2004,6.778835646,5.769052468,2.218587158,2.277137554,3.441846193,9.349866124,3.579116281,3.36485209,2.14051939,1.818877181,1.067879111,6.145829972,1.031060666,1.48444762,4.916512354,2.733488827,3.023077528,0.511939403,3.268068429,1.709806182
7/1/2004,5.854451608,5.436793764,1.974140106,3.065054928,3.36180459,12.82460911,6.646732255,5.086941983,2.340659875,1.138633654,1.004223647,5.243663347,0.599741833,1.125821473,4.012437545,2.731546481,5.013058545,0.806209968,3.333740056,1.737113516
10/1/2004,6.200213827,5.99755024,2.447396338,2.919318667,3.927407753,11.58208748,4.212699999,2.647589448,2.475990988,1.492349629,1.050189463,5.238721581,0.988817865,1.612686285,3.946156609,2.766809839,4.355119639,0.820757984,3.251425554,1.495824927
1/1/2005,7.163829915,8.561084414,5.113688823,3.308872654,3.760008836,13.50036607,3.735989196,2.453528869,2.659087952,2.353618254,0.971579344,8.138376407,2.316205868,3.177649221,4.92791369,2.813305752,3.778603144,0.621528551,3.758575279,2.238630203
4/1/2005,5.082203579,5.177718091,1.848187116,2.683126546,2.866939957,9.127889976,3.601779195,2.955324205,1.571896818,1.37455144,0.940390621,4.760871742,0.698866258,1.275213723,3.820677449,2.938745012,3.217964964,0.715471808,2.873837178,1.509009625
7/1/2005,5.673551355,5.061627523,1.741660193,2.68004047,3.101609839,11.43181992,5.066490206,4.153651006,1.795391543,1.08434826,1.055862137,4.973535504,0.645281193,1.061391452,3.574085277,2.818185592,3.787999254,0.682710771,4.155574561,1.740145491
10/1/2005,6.089905801,5.131793491,2.348097206,1.769947982,2.832297141,10.20622948,3.882838833,4.006741743,1.955069632,1.568878857,0.941050413,5.368762047,0.789506934,1.334932521,3.963714672,2.761626266,3.344404169,0.663231422,2.599084113,1.05918121
1/1/2006,8.525915574,7.948298965,5.067586035,2.452970974,2.986350536,12.22234416,3.613018397,2.866898386,2.357490129,2.6543833,0.82928106,8.366101452,2.212349947,2.845767969,4.718717923,2.916867391,3.43966828,0.671019401,3.578451065,2.232595269
4/1/2006,6.569684438,6.220572149,2.359089016,2.17767174,2.84945493,9.169504254,4.190852023,3.22089729,2.346290776,1.558551981,1.114019309,6.326707955,0.909685449,1.456848671,4.251093394,2.588864394,3.586984645,0.77167946,3.837716177,1.894519608
7/1/2006,5.771059328,5.720923248,1.799049343,2.776814372,2.925707247,9.679279753,5.250045749,5.123943249,1.627112744,1.001420056,0.861313838,4.796727981,0.51402346,1.166798918,3.766511188,2.651867766,4.351379475,0.684454555,3.860515761,1.599647463
10/1/2006,6.692897342,5.861450471,2.705538984,1.963298024,2.885646047,11.23203051,4.75023123,3.816660325,2.146111749,1.768249212,0.885756242,5.831785407,1.073973369,1.312705491,3.941025137,3.20947291,4.044414319,0.680441312,3.331924298,1.349167665
1/1/2007,8.158657533,8.492911052,4.059227992,2.490456095,3.101674259,12.03316179,5.062771135,2.772704889,2.763648214,2.569317544,0.771905614,8.054066887,2.60028593,2.93251158,5.227316505,3.204800377,4.169692135,0.600063804,4.612350825,2.530390842
4/1/2007,5.710082435,5.63854296,2.422243244,2.499154548,3.334822586,10.43364885,4.106554606,3.184038241,2.078817229,1.330251353,1.085196982,5.494124412,0.965469884,1.507024107,3.811673204,3.015124179,4.248148557,0.677266265,4.095913917,1.591973782
7/1/2007,5.402542929,5.206902645,1.571916279,2.554702581,2.822155732,11.2534749,5.486012592,5.806754505,2.079865328,1.13832038,0.928470397,5.523342476,0.761775469,0.971858675,3.269587929,2.538565593,5.315583886,1.155182361,3.594415126,1.54073435
10/1/2007,6.8034937,6.495867281,2.123589119,2.256978618,2.665508214,10.82214699,4.209096872,3.264577963,2.209490312,1.492258208,0.954155937,6.455298222,1.126385045,1.42488952,3.659417238,3.027298424,3.856469504,0.775437481,3.404125126,1.865356138
1/1/2008,7.866269299,8.859705052,5.057994998,2.485870923,3.282456046,13.52714389,4.714512533,2.678699739,2.525823438,2.786387817,0.800254152,8.504605333,2.354512541,3.401104392,4.678600595,3.144601144,3.689482557,0.661033086,3.237673129,2.578304508
4/1/2008,5.616703845,5.169616493,2.225727241,1.961535042,2.944494821,8.666227716,3.88770053,2.924186732,1.899482326,1.366462519,0.833941483,5.446680595,0.785133232,1.193367518,3.650183806,2.393854778,3.041386477,0.477518155,2.875492461,2.136058458
7/1/2008,5.886763961,4.677335432,1.688607534,2.429234172,2.77269312,9.967416605,5.539060605,4.375545833,1.949352451,1.016760716,0.919173051,5.857131294,0.603633167,0.848696888,3.677605078,3.013292123,4.548859967,0.652201889,3.836479808,1.783571419
10/1/2008,5.506298475,6.063173645,2.551046177,2.567850588,2.89272708,10.62490743,3.657036209,3.212029752,2.192029219,1.771156892,0.9654733,6.313262899,0.836406719,1.592981581,3.427030685,2.623893922,2.693322218,0.619846093,2.911551551,1.2078041
1/1/2009,6.78722542,8.396069854,4.64288934,2.036538651,2.631521285,11.25863907,3.905549348,1.642597654,2.313290694,2.372678002,0.773338847,7.305582885,1.94618467,2.314925182,4.112529925,2.82057551,3.065640176,0.691224492,3.243308722,1.98843534
4/1/2009,5.36131722,4.701395533,2.122635233,1.992129053,2.649392016,7.933405254,4.037631492,3.033655869,1.630219763,1.5327089,0.945568749,5.422938409,0.939375864,1.306315616,3.821494138,2.260247317,2.649506847,0.469633442,3.274485509,1.682333221
7/1/2009,4.699349543,4.702030706,1.260896354,2.967096435,2.860449736,10.65748522,5.998090772,5.578934181,2.119214422,0.972456154,1.209374432,5.589336667,0.77645003,1.123994631,3.667944147,1.797412253,3.425273793,0.529480437,3.705937224,1.516881909
10/1/2009,6.20878407,6.590312614,2.394690798,2.272563685,2.706987975,9.670847834,4.524647055,3.071775602,2.426598937,1.538431332,0.916336907,6.073224649,1.040349626,1.577639224,3.522463765,2.392310359,2.350346359,0.573115973,2.987359481,1.444938205
1/1/2010,7.148262202,7.67492989,4.638231894,2.17055711,2.69594542,10.33685944,4.138983573,2.416570141,1.921683372,2.074304623,0.736827185,7.624881053,2.047212104,2.760926371,4.195804047,2.632279491,2.951780861,0.394889755,3.837544479,2.151455388
4/1/2010,4.850217484,4.886140489,1.869804969,2.14107305,3.208041941,8.177679383,4.266619065,3.357768111,2.244148919,1.394738001,0.926116951,5.670402394,0.892143449,1.405517854,3.820610689,2.255618709,2.611653252,0.501242397,3.570309076,1.534243379
7/1/2010,6.029489521,5.601450748,1.585782064,3.328249698,2.828116378,10.73239172,5.7750708,5.299037392,1.54329843,1.027284444,1.063277996,5.582462749,0.775511344,0.875674215,3.620631038,2.017164265,4.173977732,0.55265747,3.421609168,1.625459303
10/1/2010,6.238902535,5.681885341,2.287808111,2.302143263,2.62164976,10.95504754,4.073304405,2.850586114,2.083225651,1.447941184,0.883936823,5.614280897,0.820585926,1.658060508,3.790220328,2.522862553,3.071041974,0.406312192,2.796468832,1.271264258
1/1/2011,7.597467501,8.297531606,4.553495719,2.222261758,2.528372041,9.049787647,1.970261347,1.717206067,2.293817106,2.622378722,0.77575808,7.534039091,2.076811626,2.699236043,4.764529473,2.454072732,3.240393729,0.69571138,2.923030363,2.048384278
4/1/2011,5.815929592,6.00360934,2.210699456,2.087470312,3.003445429,9.887558998,4.35184969,2.863282571,1.98197747,1.87773476,0.885261346,5.673131474,0.983375213,1.549752835,4.090106749,2.317543231,2.979781074,0.333939949,2.511930533,1.380644877
7/1/2011,6.183238767,5.04301656,1.971881437,3.367905072,2.932656897,10.16181539,6.318046641,5.918092276,1.786094512,1.388647019,1.131011461,5.721293412,0.699225169,0.998304215,4.500034789,2.278087208,3.596994963,0.699877335,3.848049692,1.783573041
10/1/2011,5.929030133,6.141692395,1.990591827,2.167217521,2.840002858,10.34705431,4.322151644,3.232750985,1.951651901,1.494143357,0.885522936,5.89997092,1.004692254,1.477089047,3.725254891,2.968608386,3.272237601,0.620660689,3.231659648,1.259923344
1/1/2012,7.986931063,8.230657956,4.547832995,2.09628365,2.863153424,10.95140239,4.092253854,3.147074164,2.164943614,2.588195909,1.116690474,7.900462251,2.286759755,2.584140892,5.129357255,3.002078824,3.654525391,0.532929157,3.52217192,1.94844832
4/1/2012,5.307870973,5.215309404,2.21625633,2.321955862,3.344971365,8.251778448,5.505438087,2.718836804,1.761294583,1.526312122,0.872699387,5.882333782,0.860406707,1.348031667,3.991418174,2.142614037,3.578185112,0.613487232,2.928171726,1.453130805
7/1/2012,6.054111694,5.6805821,1.463597179,2.534728212,2.833960602,10.17328869,5.964237869,4.706995154,1.943200204,1.055319786,0.887199295,5.89753572,0.583112789,1.766874445,3.605855055,2.350939477,3.466473111,0.815552202,3.833786173,1.779288333
10/1/2012,6.023896873,6.818512993,2.303388741,2.424836116,3.255881457,10.90652728,4.289677663,3.434604438,2.13394476,1.635977608,1.012632183,6.771695808,0.977865008,1.517014864,4.670347267,2.674264289,4.108337006,0.696048635,3.426875204,1.621043447
1/1/2013,7.028480122,7.764269932,5.027767337,2.956586865,3.443175217,12.15635061,4.704436299,2.545211289,2.279129532,2.232846113,1.046150381,8.361854151,2.128404918,3.066430324,4.332011383,3.41954334,3.876669136,0.574352033,3.569782692,2.093008732
4/1/2013,5.81345003,5.272602829,2.331858329,2.238851408,2.951807647,7.891849938,4.889508414,3.334673604,1.809868428,1.802520237,0.969851588,5.85504305,0.996515681,1.59466155,3.973004966,3.15752349,3.495168105,0.997655337,3.040393146,1.502455221
7/1/2013,6.322841426,5.254357545,2.027862166,2.711373667,2.830804577,9.486096656,4.826092895,5.396800299,1.632197804,1.119346821,0.713009594,5.580452064,0.760372813,1.013195113,3.336919671,2.70787421,4.388933602,0.627879194,2.872445367,1.234235338
10/1/2013,7.10169053,6.521979121,2.769248699,2.329302043,2.602072288,10.60260132,4.437939815,3.131844666,3.302684377,1.653778176,0.762461549,6.504151916,1.49957564,1.657157691,4.279082421,2.715497641,3.467303831,0.467165159,2.707771816,1.260340036
1/1/2014,7.897315987,8.563474331,4.209300459,2.73119114,2.581999613,11.4602208,5.13736881,2.676902921,2.557107553,2.218273771,1.04827572,9.442314615,2.965158718,3.278598594,4.909336136,3.412205225,5.630403218,0.764805336,3.176732374,2.235158514
4/1/2014,5.997467557,6.005910786,2.400495583,2.685632154,2.868704147,9.786074008,5.0761262,3.550341315,2.16112087,1.423599462,1.050840102,6.608252144,1.560491255,1.614263768,4.812909184,2.834858984,5.270482069,0.537691235,3.483815983,1.965450048
7/1/2014,6.033532862,5.846872934,1.662337849,2.896298235,2.948054131,10.05863815,6.825957796,5.300409968,1.828211556,1.153618602,1.302032113,6.270760274,0.668750033,0.895377685,4.634978221,2.538616697,5.25941993,0.874961529,3.698000773,1.683019907
10/1/2014,7.103397524,5.790288644,2.831354975,2.400582272,3.754855358,10.31529622,6.098198201,3.407664763,2.308525978,1.609124812,1.325064614,7.548738809,1.11575661,1.462781606,4.919987781,2.363583444,5.620602913,0.992331104,3.490818468,1.858237355
1/1/2015,8.725131621,7.875725058,4.81178323,2.45982197,2.718823125,11.56882388,4.276923489,2.503141038,2.639272457,3.037088937,1.164554376,9.733087335,2.969493461,2.809841235,4.894907607,3.527544146,5.497129396,1.288623408,4.269451386,2.574935334
4/1/2015,6.995874645,6.021249171,2.766102917,2.210962629,3.445120675,9.337820815,5.509070678,3.639217263,1.748306533,1.490527797,1.164906767,6.645538788,1.092742347,1.844101993,4.507024697,3.304528632,5.219803947,0.773633745,3.718575476,2.010583164
7/1/2015,6.294489763,5.486428705,2.097544269,3.079725699,2.877698703,10.74080576,6.155201069,6.530297279,1.911143762,0.996587955,1.021052059,6.545235692,0.811279694,1.135806175,4.569014423,2.922296566,6.347613243,1.088080906,4.419010697,1.819065986
10/1/2015,6.945476339,6.818165173,2.561440458,2.630874181,3.776076692,10.30092495,4.449971275,3.637881869,2.383106677,1.972753277,1.251283598,7.724151417,1.526033364,1.831188153,4.584000387,3.640982738,6.174618005,1.306545476,3.809972935,2.379367506
1/1/2016,7.373757347,9.945415088,4.789194204,2.767852969,2.871375513,11.87519862,4.498251489,3.127780091,2.874414087,2.860267133,1.113651544,9.97227458,2.495102316,3.20389311,5.762569899,4.169989923,6.738585713,1.033122565,4.288449358,2.853100838
4/1/2016,6.792233683,6.664099361,2.320228534,2.691364679,3.928462183,9.05869806,4.867572156,3.658800193,2.075967278,1.680253613,1.464618322,7.184241357,0.93042712,1.249398128,4.382705157,3.262923828,5.93747906,1.243278469,3.278023094,1.917089551
7/1/2016,6.530568026,5.978457828,1.651091234,3.269565398,3.514431007,11.2361152,6.434019602,5.359851445,2.121646116,1.554084728,1.335487584,6.909728314,0.94112175,0.967875545,4.285910575,2.837997739,6.065807789,1.169327657,4.290924677,2.131902312
10/1/2016,7.878276842,7.362044934,2.713210265,2.739391801,3.490720902,12.05771872,6.572584328,3.302715542,2.407232767,1.705153209,0.925070504,8.01216096,1.352085174,1.766632662,4.955138406,3.36765926,5.983870053,1.345384416,4.23383755,2.015249614
